id,translation,url
242c9adba6ea4354756784a83e9ac102,"{""en"": ""Clinical evaluation"", ""vi"": ""Đánh giá lâm sàng"", ""ja"": ""通常は特異的な診断検査は不要である。ただし，発熱，重度の腹痛，および血性下痢の存在は，より重篤な疾患を示唆するため，直ちに評価を行うべきである。""}",https://www.msdmanuals.com/professional/gastrointestinal-disorders/gastroenteritis/traveler%e2%80%99s-diarrhea
95bd442a3da264072ee27562f8e608d9,"{""en"": ""Various endocrine tumors produce secretagogues, including vipomas     Vipoma  A vipoma is a non-beta pancreatic islet cell tumor secreting vasoactive intestinal peptide (VIP), resulting in a syndrome of watery diarrhea, hypokalemia, and achlorhydria (WDHA syndrome). Diagnosis...  read more      (vasoactive intestinal peptide), gastrinomas     Gastrinoma  A gastrinoma is a gastrin-producing tumor usually located in the pancreas or the duodenal wall. Gastric acid hypersecretion and aggressive, refractory peptic ulceration result (Zollinger-Ellison...  read more         (gastrin), mastocytosis     Mastocytosis and Mast Cell Activation Syndrome  Mastocytosis is mast cell proliferation with infiltration of skin or other tissues and organs. Mast cell activation syndrome is increased and inappropriate activation of mast cells without clonal...  read more         (histamine), medullary carcinoma of the thyroid     Medullary Thyroid Carcinoma  There are 4 general types of thyroid cancer. Most thyroid cancers manifest as asymptomatic nodules. Rarely, lymph node, lung, or bone metastases cause the presenting symptoms of small thyroid...  read more      (calcitonin and prostaglandins), and carcinoid tumors     Overview of Carcinoid Tumors  Carcinoid tumors develop from neuroendocrine cells in the gastrointestinal tract (90%), pancreas, pulmonary bronchi, and rarely the genitourinary tract. More than 95% of all gastrointestinal...  read more      (histamine, serotonin, and polypeptides). Some of these mediators (eg, prostaglandins, serotonin, related compounds) also accelerate intestinal transit, colonic transit, or both."", ""vi"": ""Các khối u nội tiết khác nhau sản sinh ra các chất kích thích bài tiết, bao gồm vipomas     Vipoma  U tiết peptide vận mạch ruột là khối u không phải tế bào beta của tiểu đảo tụy, bài tiết peptit vận mạch ruột (VIP) gây ra hội chứng gồm tiêu chảy phân nước, hạ kali máu và giảm tiết axit dịch...  đọc thêm      (peptide ruột vận mạch), gastrinomas     U tiết gastrin  U tiết gastrin là u sản xuất ra gastrin, thường khu trú ở tụy hoặc ở thành tá tràng. Gây tăng tiết acid dạ dày và loét dạ dày tá tràng tăng triển khó điều trị (hội chứng Zollinger-Ellison)....  đọc thêm         (gastrin), bệnh tế bào mast     Hội chứng tăng sinh tế bào và kích hoạt tế bào Mast  Bệnh tế bào Mast là sự tăng sinh tế bào mast kèm theo xâm nhập da hoặc các mô và cơ quan khác. Hội chứng hoạt hóa tế bào mast tăng lên và sự hoạt hóa không thích hợp của các tế bào mast mà không...  đọc thêm         (histamine), ung thư biểu mô tuyến giáp     Ung thư tuyến giáp thể tủy  Có 4 loại ung thư tuyến giáp nói chung. Hầu hết các bệnh ung thư tuyến giáp biểu hiện như nhân giáp không triệu chứng. Hiếm khi, di căn hạch bạch huyết, phổi, hoặc xương gây ra triệu chứng trong...  đọc thêm      (calcitonin và prostaglandin) và u tế bào ưa bạc     Tổng quan về U carcinoid  Các khối u carcinoid phát triển từ các tế bào nội tiết thần kinh trong đường tiêu hóa (90%), tụy, phế quản phổi và hiếm khi ở hệ tiết niệu sinh dục. Hơn 95% các u carcinoid đường tiêu hóa chỉ...  đọc thêm      (histamine, serotonin và polypeptides). Một số chất trung gian (ví dụ: prostaglandin, serotonin, các phức hợp liên quan) cũng làm tăng tốc độ thức ăn di chuyển qua ruột non, tăng tốc độ thức ăn di chuyển qua đại tràng, hoặc cả hai."", ""ja"": ""様々な内分泌腫瘍が分泌促進物質を産生し，そのような腫瘍としては VIPoma     VIPoma  VIPomaは，血管作動性腸管ペプチド（VIP）を分泌する非β膵島細胞腫瘍で，水様性下痢，低カリウム血症，および無酸症を呈する症候群（WDHA症候群）を来す。診断は血清VIP濃度による。腫瘍の局在診断はCTおよび超音波内視鏡検査による。治療は外科的切除である。 VIPomaは，膵島細胞から発生する膵内分泌腫瘍の一種である。これらの腫瘍のうち50～75％は悪性で，診断時に極めて大きい（7cm）ものもある。VIPomaの約6％は，...  さらに読む     （血管作動性腸管ペプチド）， ガストリノーマ     ガストリノーマ  ガストリノーマはガストリン産生腫瘍で，通常膵臓または十二指腸壁に発生する。結果として胃酸の過剰分泌と進行の速い難治性の消化性潰瘍が生じる（ゾリンジャー-エリソン症候群）。診断は血清ガストリン濃度の測定による。治療はプロトンポンプ阻害薬および外科的切除である。 （ 膵内分泌腫瘍の概要も参照のこと。） ガストリノーマは，膵島細胞から発生する膵内分泌腫瘍の一種であるが，十二指腸および，はるかにまれであるが，体内の他の部位のガストリン産生細胞か...  さらに読む     （ガストリン）， 肥満細胞症     肥満細胞症  肥満細胞症は，皮膚または他の組織および器官の肥満細胞浸潤である。症状は主にメディエーター放出に起因し，そう痒，紅潮，胃酸過剰分泌による消化不良などを含む。診断は皮膚もしくは骨髄の生検，またはその両方による。治療は抗ヒスタミン薬の投与，および基礎疾患の制御による。 （ アレルギー疾患およびアトピー性疾患の概要も参照のこと。） 肥満細胞症は，肥満細胞の増殖，および皮膚，他の器官，またはその両方への浸潤を特徴とする疾患群である。病理は主に，ヒ...  さらに読む        （ヒスタミン）， 甲状腺髄様癌     甲状腺髄様癌  甲状腺癌は主に4種類がある。大半の甲状腺癌は無症候性の結節として発現する。まれに，小さい甲状腺癌の主症状が，リンパ節，肺，または骨への転移により現れる。診断はしばしば穿刺吸引細胞診によって行われるが，他の検査を要する場合もある。治療は外科的切除により行い，通常はそれに続いて放射性ヨードで残存組織を破壊する。 （ 甲状腺機能の概要も参照のこと。） 甲状腺癌には主に次の4種類がある： 乳頭癌 濾胞癌  さらに読む     （カルシトニン，プロスタグランジン）， カルチノイド腫瘍     カルチノイド腫瘍の概要  カルチノイド腫瘍は，消化管（90％），膵臓， 気管支のほか，まれに泌尿生殖器においても神経内分泌細胞から発生する。消化管カルチノイド全体の95％以上が虫垂，回腸，直腸という3カ所から発生する。 カルチノイドはしばしば良性であるか，浸潤性であっても限局的であるが，回腸および気管支を侵すものは悪性であることが多い。悪性腫瘍は高分化型から低分化...  さらに読む     （ヒスタミン，セロトニン，ポリペプチド）などがある。これらのメディエーターのいくつか（例，プロスタグランジン，セロトニン，関連化合物）も小腸の通過，大腸の通過，またはその両方を促進する。""}",https://www.msdmanuals.com/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/diarrhea
86e0156173caed9fd0fcc9706a013aa2,"{""en"": ""Irritable bowel syndrome and centrally mediated abdominal pain syndrome cause pain that persists > 6 months without evidence of physiologic disease. The pathophysiology of these disorders is complex and seems to involve altered intestinal motility, increased visceral nociception, and psychologic factors. Visceral hyperalgesia refers to hypersensitivity to normal amounts of intraluminal distention and heightened perception of pain in the presence of normal quantities of intestinal gas; it may result from remodeling of neural pathways in the brain-gut axis."", ""vi"": ""Hội chứng ruột kích thích và đau bụng trung ương gây đau kéo dài > 6 tháng mà không có bằng chứng về tình trạng bất thường về sinh lý. Sinh lý bệnh của các rối loạn cơ năng này phức tạp và dường như liên quan đến thay đổi nhu động ruột, tăng khả năng nhận cảm đau của nội tạng và các yếu tố tâm lý. Tăng cảm giác đau nội tạng đề cập đến quá mẫn cảm với mức độ căng giãn trong lòng ống tiêu hóa và tăng cao cảm nhận đau khi có lượng khí bình thường trong đường ruột; nó có thể là kết quả của quá trình chỉnh sửa lại các con đường thần kinh ở trục não-ruột."", ""ja"": ""過敏性腸症候群と機能性腹痛は，器質的疾患の所見を認めない状態で6カ月以上持続する疼痛を引き起こす。これらの機能障害の病態生理は複雑であり，腸管運動の変化，内臓侵害受容の亢進，および心理的因子が関与していると考えられている。内臓痛覚過敏とは，正常量の管腔内膨張に対する過敏性や正常量の腸内ガスの存在下での痛覚過敏を指し，脳腸相関における神経経路のリモデリングの結果として生じる可能性がある。""}",https://www.msdmanuals.com/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/chronic-abdominal-pain-and-recurrent-abdominal-pain
e5f908403c6c9d40b90334d4f935f722,"{""en"": ""Headache, stiff neck, or mental status change"", ""vi"": ""Đau đầu, gáy cứng, hoặc thay đổi trạng thái tâm thần"", ""ja"": ""頭痛，項部硬直，または精神状態の変化""}",https://www.msdmanuals.com/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/nausea-and-vomiting
a1e4804c6d6b9ab40ae34c72050bc9f1,"{""en"": ""Patients with achalasia     Achalasia  Achalasia is a neurogenic esophageal motility disorder characterized by impaired esophageal peristalsis and a lack of lower esophageal sphincter relaxation during swallowing. Symptoms are slowly...  read more         or a Zenker diverticulum     Esophageal Diverticula  An esophageal diverticulum is an outpouching of mucosa through the muscular layer of the esophagus. It can be asymptomatic or cause dysphagia and regurgitation. Diagnosis is made by barium swallow...  read more         may regurgitate undigested food without nausea. In the majority of patients who do not have these obstructive esophageal conditions, the pathophysiology is poorly understood. The reverse peristalsis in ruminants has not been reported in humans. The disorder is probably a learned, maladaptive habit and may be part of an eating disorder. The person learns to open the lower esophageal sphincter and propel gastric contents into the esophagus and throat by increasing gastric pressure via rhythmic contraction and relaxation of the diaphragm."", ""vi"": ""Bệnh nhân không giãn được cơ trơn     Co thắt tâm vị  Co thắt tâm vị là một tình trạng rối loạn nhu động thực quản do thần kinh sinh ra, có biểu hiện là không có nhu động thực quản và không giãn cơ thắt thực quản dưới trong quá trình nuốt. Triệu...  đọc thêm         hoặc túi thừa Zenker     Túi thừa ở thực quản  Túi thừa thực quản là phần phồng ra của niêm mạc qua lớp cơ của thực quản. Bệnh có thể không có triệu chứng hoặc gây khó nuốt và trào ngược. Chẩn đoán bằng chụp X-quang thực quản nuốt bari;...  đọc thêm         có thể ựa ra thức ăn không được tiêu hóa mà không có buồn nôn. Ở đa số bệnh nhân không có tình trạng tắc thực quản, không rõ sinh lý bệnh. Nhu động đảo ngược ở động vật nhai lại chưa được báo cáo ở người. Tình trạng bất thường này có lẽ do thói quan không thích nghi tốt, đã được học và có thể là một phần của một tình trạng rối loạn về ăn uống. Người ta học cách mở cơ thắt thực quản dưới và đẩy các thành phần có trong dạ dày vào thực quản và họng bằng cách tăng áp lực dạ dày thông qua quá trình co giãn nhịp nhàng của cơ hoành."", ""ja"": ""臨床的評価""}",https://www.msdmanuals.com/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/rumination
579a320e39d6d284fdc7734225a0f713,"{""en"": ""For acid suppression: A proton pump inhibitor or H2 blocker"", ""vi"": ""Để giảm tiết acid: Thuốc ức chế bơm proton hoặc thuốc chẹn H2"", ""ja"": ""胃酸分泌抑制薬を用いた予防により，急性ストレス性胃炎の発生率を低下させることができる。しかしながら，予防が有益となる対象は主に一部の高リスクのICU患者であり，具体的には重度熱傷，中枢神経系外傷，凝固障害，敗血症，ショック，多発外傷，48時間を超える機械的人工換気，肝不全，腎不全，または多臓器不全がある患者や，消化性潰瘍または消化管出血の既往がある患者などである。""}",https://www.msdmanuals.com/professional/gastrointestinal-disorders/gastritis-and-peptic-ulcer-disease/erosive-gastritis
f577e676f224d889954ce23c0e8787b9,"{""en"": ""Methane is also produced by colonic bacterial metabolism of the same foods (eg, dietary fiber). However, about 10% of people have bacteria that produce methane but not hydrogen."", ""vi"": ""Mê-tan cũng được sản sinh bởi quá trình chuyển hóa của vi khuẩn ở đại tràng của cùng một loại thực phẩm (ví dụ: chế độ ăn nhiều chất xơ). Tuy nhiên, khoảng 10% số người có vi khuẩn sản sinh khí mê-tan thay vì hydro."", ""ja"": ""放屁中の水素およびメタンは可燃性であるにもかかわらず，火気の付近での作業は危険ではない。しかしながら，空腸手術，結腸手術，および大腸内視鏡検査時に，腸管洗浄が不十分な患者に対してジアテルミーを使用した際に，ガス爆発，さらには致死的な結果も報告されている。""}",https://www.msdmanuals.com/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/gas-related-complaints
e5f908403c6c9d40b90334d4f935f722,"{""en"": ""Chronic vomiting can result in undernutrition, weight loss, and metabolic abnormalities."", ""vi"": ""Nôn mạn tính có thể dẫn đến tình trạng suy dinh dưỡng, sụt cân và các bất thường về chuyển hóa."", ""ja"": ""慢性嘔吐は低栄養，体重減少，代謝異常を引き起こしうる。""}",https://www.msdmanuals.com/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/nausea-and-vomiting
f577e676f224d889954ce23c0e8787b9,"{""en"": ""Chronic, recurrent bloating or distention in a patient with abdominal pain that is related to defecation and associated with change in frequency or consistency of stool but without red flag findings suggests irritable bowel syndrome     Irritable Bowel Syndrome (IBS)  Irritable bowel syndrome is characterized by recurrent abdominal discomfort or pain with at least two of the following characteristics: relation to defecation, association with a change in frequency...  read more     ."", ""vi"": ""Chướng hoặc căng giãn bụng mạn tính, tái phát trên bệnh nhân bị đau bụng liên quan đến đại tiện và liên quan đến thay đổi tần suất hoặc độ đặc của phân mà không có dấu hiệu cảnh báo gợi ý hội chứng ruột kích thích     Hội chứng ruột kích thích (IBS)  Hội chứng ruột kích thích được đặc trưng bởi sự khó chịu hoặc đau bụng tái phát với ít nhất hai đặc điểm sau: liên quan đến đại tiện, liên quan đến số lần đại tiện, hoặc liên quan đến sự thay...  đọc thêm     ."", ""ja"": ""中高年の女性（または内診で異常を認める女性）で持続性の腹部膨満が新たに認められた場合は，卵巣がんを除外するために骨盤内超音波検査を施行すべきである。""}",https://www.msdmanuals.com/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/gas-related-complaints
f577e676f224d889954ce23c0e8787b9,"{""en"": ""There is great variability in the quantity and frequency of rectal gas passage. As with stool frequency, people who complain of flatulence often have a misconception of what is normal. The average number of gas passages is about 13 to 21/day. Objectively recording flatus frequency (using a diary kept by the patient) is a first step in evaluation."", ""vi"": ""Có sự thay đổi lớn về số lượng và tần suất khí đi qua trực tràng. Cũng như tần suất đại tiện, những người phàn nàn về chứng đầy hơi thường có quan niệm sai lầm về thế nào là bình thường. Lượng khí trung bình đi qua ruột khoảng từ 13 đến 21/ngày. Ghi nhận khách quan tần suất đầy hơi (bằng cách sử dụng nhật ký của bệnh nhân) là bước đánh giá đầu tiên."", ""ja"": ""「スライダー型」（混雑したエレベーター型）：ゆっくりと音もなく放たれ，ときに強い影響を与える""}",https://www.msdmanuals.com/professional/gastrointestinal-disorders/symptoms-of-gastrointestinal-disorders/gas-related-complaints
